Day,Run_ID,Replicate_ID,Sample_Level,Result
1,D1R1,1,Low QC,5.28
1,D1R1,2,Low QC,5.32
1,D1R1,3,Low QC,5.29
1,D1R1,1,High QC,9.26
1,D1R1,2,High QC,9.21
1,D1R1,3,High QC,9.19
1,D1R2,1,Low QC,5.31
1,D1R2,2,Low QC,5.29
1,D1R2,3,Low QC,5.27
1,D1R2,1,High QC,9.21
1,D1R2,2,High QC,9.16
1,D1R2,3,High QC,9.18
2,D2R1,1,Low QC,5.28
2,D2R1,2,Low QC,5.28
2,D2R1,3,Low QC,5.26
2,D2R1,1,High QC,9.15
2,D2R1,2,High QC,9.15
2,D2R1,3,High QC,9.21
2,D2R2,1,Low QC,5.28
2,D2R2,2,Low QC,5.31
2,D2R2,3,Low QC,5.3
2,D2R2,1,High QC,9.21
2,D2R2,2,High QC,9.19
2,D2R2,3,High QC,9.18
3,D3R1,1,Low QC,5.28
3,D3R1,2,Low QC,5.3
3,D3R1,3,Low QC,5.31
3,D3R1,1,High QC,9.18
3,D3R1,2,High QC,9.2
3,D3R1,3,High QC,9.17
3,D3R2,1,Low QC,5.29
3,D3R2,2,Low QC,5.29
3,D3R2,3,Low QC,5.27
3,D3R2,1,High QC,9.21
3,D3R2,2,High QC,9.22
3,D3R2,3,High QC,9.15
4,D4R1,1,Low QC,5.32
4,D4R1,2,Low QC,5.33
4,D4R1,3,Low QC,5.3
4,D4R1,1,High QC,9.2
4,D4R1,2,High QC,9.18
4,D4R1,3,High QC,9.21
4,D4R2,1,Low QC,5.3
4,D4R2,2,Low QC,5.3
4,D4R2,3,Low QC,5.33
4,D4R2,1,High QC,9.2
4,D4R2,2,High QC,9.23
4,D4R2,3,High QC,9.18
5,D5R1,1,Low QC,5.31
5,D5R1,2,Low QC,5.33
5,D5R1,3,Low QC,5.24
5,D5R1,1,High QC,9.14
5,D5R1,2,High QC,9.17
5,D5R1,3,High QC,9.14
5,D5R2,1,Low QC,5.29
5,D5R2,2,Low QC,5.3
5,D5R2,3,Low QC,5.26
5,D5R2,1,High QC,9.16
5,D5R2,2,High QC,9.2
5,D5R2,3,High QC,9.14
